 C (Z = 6) Atomic weight: Ar = 12.01100 g mol-1   Nominal density:   ρ (g cm-3) = 2.2600
    σa(barns/atom) = [μ/ρ](cm2 g-1)  ×  1.99447E+01 
    E(eV) [μ/ρ](cm2 g-1) = f2(e atom-1)  ×  3.50348E+06 
    3 edges. Edge energies (keV):

     
      K      2.83800E-01  L I    1.95100E-02  L II   6.40000E-03 

    Relativistic correction estimate frel (H82,3/5CL) = -4.1810E-03, -1.8000E-03 e atom-1 
    Nuclear Thomson correction fNT = -1.6442E-03 e atom-1 

Form Factors, Attenuation and Scattering Cross-sections
Z=6, E = 1 - 100 keV

      E            f1          f2        [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]K      lambda
                                      Photoelectric Coh+inc      Total
     keV        e atom-1      e atom-1   cm2 g-1       cm2 g-1      cm2 g-1   cm2 g-1     nm
2.377781E+00  6.12696E+00  1.1330E-01  1.6694E+02  7.9106E-01  1.6773E+02  1.595E+02  5.214E-01
2.541848E+00  6.11588E+00  9.9638E-02  1.3733E+02  7.6028E-01  1.3809E+02  1.312E+02  4.878E-01
2.717235E+00  6.10571E+00  8.7625E-02  1.1298E+02  7.2982E-01  1.1371E+02  1.079E+02  4.563E-01
2.904724E+00  6.09643E+00  7.7061E-02  9.2946E+01  6.9982E-01  9.3646E+01  8.875E+01  4.268E-01
3.105150E+00  6.08790E+00  6.7420E-02  7.6069E+01  6.7040E-01  7.6739E+01  7.263E+01  3.993E-01
3.319406E+00  6.07984E+00  5.8701E-02  6.1956E+01  6.4168E-01  6.2598E+01  5.915E+01  3.735E-01
3.548445E+00  6.07234E+00  5.1109E-02  5.0461E+01  6.1373E-01  5.1075E+01  4.818E+01  3.494E-01
3.793288E+00  6.06543E+00  4.4499E-02  4.1099E+01  5.8666E-01  4.1686E+01  3.924E+01  3.269E-01
4.055024E+00  6.05909E+00  3.8744E-02  3.3474E+01  5.6054E-01  3.4035E+01  3.196E+01  3.058E-01
4.334821E+00  6.05329E+00  3.3733E-02  2.7264E+01  5.3541E-01  2.7799E+01  2.603E+01  2.860E-01
4.633924E+00  6.04802E+00  2.9370E-02  2.2206E+01  5.1132E-01  2.2717E+01  2.121E+01  2.676E-01
4.953664E+00  6.04323E+00  2.5572E-02  1.8086E+01  4.8832E-01  1.8574E+01  1.727E+01  2.503E-01
5.295467E+00  6.03890E+00  2.2265E-02  1.4731E+01  4.6642E-01  1.5197E+01  1.407E+01  2.341E-01
5.660855E+00  6.03498E+00  1.9289E-02  1.1938E+01  4.4563E-01  1.2384E+01  1.140E+01  2.190E-01
6.051453E+00  6.03140E+00  1.6703E-02  9.6701E+00  4.2596E-01  1.0096E+01  9.231E+00  2.049E-01
6.469004E+00  6.02815E+00  1.4463E-02  7.8329E+00  4.0741E-01  8.2403E+00  7.475E+00  1.917E-01
6.915365E+00  6.02520E+00  1.2524E-02  6.3448E+00  3.8995E-01  6.7348E+00  6.054E+00  1.793E-01
7.392525E+00  6.02255E+00  1.0844E-02  5.1394E+00  3.7356E-01  5.5130E+00  4.902E+00  1.677E-01
7.902609E+00  6.02016E+00  9.3904E-03  4.1630E+00  3.5823E-01  4.5212E+00  3.970E+00  1.569E-01
8.447890E+00  6.01801E+00  8.1313E-03  3.3722E+00  3.4390E-01  3.7161E+00  3.215E+00  1.468E-01
9.030794E+00  6.01610E+00  7.0314E-03  2.7278E+00  3.3056E-01  3.0584E+00  2.600E+00  1.373E-01
9.653919E+00  6.01439E+00  6.0514E-03  2.1961E+00  3.1815E-01  2.5142E+00  2.093E+00  1.284E-01
1.032004E+01  6.01284E+00  5.2079E-03  1.7680E+00  3.0663E-01  2.0746E+00  1.685E+00  1.201E-01
1.103212E+01  6.01144E+00  4.4820E-03  1.4234E+00  2.9595E-01  1.7194E+00  1.356E+00  1.124E-01
1.179334E+01  6.01018E+00  3.8573E-03  1.1459E+00  2.8607E-01  1.4320E+00  1.092E+00  1.051E-01
1.260708E+01  6.00906E+00  3.3197E-03  9.2254E-01  2.7693E-01  1.1995E+00  8.788E-01  9.834E-02
1.347697E+01  6.00805E+00  2.8570E-03  7.4271E-01  2.6848E-01  1.0112E+00  7.074E-01  9.200E-02
1.440688E+01  6.00715E+00  2.4588E-03  5.9793E-01  2.6068E-01  8.5861E-01  5.694E-01  8.606E-02
1.540095E+01  6.00635E+00  2.1161E-03  4.8138E-01  2.5347E-01  7.3485E-01  4.583E-01  8.050E-02
1.646362E+01  6.00563E+00  1.8212E-03  3.8755E-01  2.4680E-01  6.3435E-01  3.689E-01  7.531E-02
1.759961E+01  6.00499E+00  1.5673E-03  3.1200E-01  2.4063E-01  5.5263E-01  2.970E-01  7.045E-02
1.881398E+01  6.00443E+00  1.3489E-03  2.5119E-01  2.3491E-01  4.8610E-01  2.391E-01  6.590E-02
2.011215E+01  6.00392E+00  1.1609E-03  2.0222E-01  2.2959E-01  4.3181E-01  1.924E-01  6.165E-02
2.149988E+01  6.00348E+00  9.9909E-04  1.6281E-01  2.2464E-01  3.8745E-01  1.549E-01  5.767E-02
2.298338E+01  6.00308E+00  8.5985E-04  1.3107E-01  2.2002E-01  3.5109E-01  1.247E-01  5.395E-02
2.456923E+01  6.00272E+00  7.4001E-04  1.0552E-01  2.1568E-01  3.2120E-01  1.004E-01  5.046E-02
2.626450E+01  6.00241E+00  6.3687E-04  8.4954E-02  2.1159E-01  2.9654E-01  8.079E-02  4.721E-02
2.807676E+01  6.00213E+00  5.4642E-04  6.8184E-02  2.0772E-01  2.7590E-01  6.483E-02  4.416E-02
3.001405E+01  6.00189E+00  4.6835E-04  5.4669E-02  2.0404E-01  2.5871E-01  5.197E-02  4.131E-02
3.208502E+01  6.00167E+00  4.0143E-04  4.3834E-02  2.0052E-01  2.4435E-01  4.166E-02  3.864E-02
3.429889E+01  6.00148E+00  3.4407E-04  3.5146E-02  1.9714E-01  2.3229E-01  3.339E-02  3.615E-02
3.666551E+01  6.00130E+00  2.9491E-04  2.8180E-02  1.9388E-01  2.2206E-01  2.677E-02  3.381E-02
3.919543E+01  6.00115E+00  2.5277E-04  2.2594E-02  1.9071E-01  2.1330E-01  2.146E-02  3.163E-02
4.189992E+01  6.00102E+00  2.1666E-04  1.8116E-02  1.8761E-01  2.0573E-01  1.720E-02  2.959E-02
4.479101E+01  6.00090E+00  1.8570E-04  1.4525E-02  1.8458E-01  1.9910E-01  1.379E-02  2.768E-02
4.788159E+01  6.00079E+00  1.5917E-04  1.1646E-02  1.8160E-01  1.9325E-01  1.105E-02  2.589E-02
5.118542E+01  6.00070E+00  1.3643E-04  9.3381E-03  1.7865E-01  1.8799E-01  8.861E-03  2.422E-02
